f,real,imag
5.8203,0.0061839,-0.00057498
5.8281,0.0051849,-0.00075752
5.8359,0.0061036,-0.0010606
5.8438,0.0036918,-0.00075667
5.8516,0.0038736,-0.0006118
5.8594,0.0050962,-0.00098946
5.8672,0.0041208,-0.00069681
5.875,0.0027595,-0.00027672
5.8828,0.0049118,-0.00066843
5.8906,0.0011105,-0.00020818
5.8984,0.0055875,-0.00088535
5.9062,0.0040948,-0.00077113
5.9141,0.0044962,-0.0008506
5.9219,0.0045559,-0.00075593
5.9297,0.0022765,-0.00032257
5.9375,0.0033038,-0.00041412
5.9453,0.0062004,-0.00072924
5.9531,0.0059161,-0.0012
5.9609,0.0052204,-0.00094656
5.9688,0.0032813,-0.00059078
5.9766,0.0059941,-0.0013904
5.9844,0.0041708,-0.0010915
5.9922,0.0030522,-0.00088487
6,0.0061402,-0.0018353
6.0078,0.0048321,-0.0013006
6.0156,0.0037778,-0.0010981
6.0234,0.0035079,-0.0010731
6.0312,0.0036226,-0.0014297
6.0391,0.0027602,-0.0010539
6.0469,0.0043167,-0.0015287
6.0547,0.0060814,-0.0023283
6.0625,0.0038909,-0.0016144
6.0703,0.0052681,-0.0022631
6.0781,0.0056646,-0.0027117
6.0859,0.0052162,-0.0024692
6.0938,0.0053749,-0.0023127
6.1016,0.0040961,-0.0019914
6.1094,0.0041448,-0.0023321
6.1172,0.0054357,-0.0031425
6.125,0.0044891,-0.0025557
6.1328,0.006325,-0.0037552
6.1406,0.0055198,-0.0034248
6.1484,0.0048224,-0.0029085
6.1562,0.0061578,-0.0038162
6.1641,0.0045279,-0.0027942
6.1719,0.0056319,-0.0036479
